,TC,ED,ET,WT,brats_name
BraTS2021_01274,0.22253702511268514,0.5126264387861876,0.378072512799018,0.8377154691084807,BraTS2021_01274
BraTS2021_01629,0.0,0.2522746348833305,0.11106796116504854,0.8803827751196173,BraTS2021_01629
BraTS2021_00025,0.0,0.1885899967094439,0.17448256830098427,0.3721568164218871,BraTS2021_00025
BraTS2021_00275,0.586741173482347,0.5675252682134239,0.7831563348975056,0.6705737411219587,BraTS2021_00275
BraTS2021_00263,0.42462199158987207,0.23854541474559807,0.4513223048062551,0.9524424901845899,BraTS2021_00263
BraTS2021_01200,0.0,0.12426768814781433,0.4057434284709363,0.8083452669503747,BraTS2021_01200
BraTS2021_00158,0.8387371408300816,0.867581640108391,0.8849773082741468,0.9189135545176557,BraTS2021_00158
BraTS2021_01606,0.0,0.12196483186117292,0.028780213603147836,0.1984341120941485,BraTS2021_01606
BraTS2021_00646,0.0,0.0,0.0,0.0,BraTS2021_00646
BraTS2021_01449,0.0,0.4088699024760406,0.33843825566284486,0.7065935816101717,BraTS2021_01449
BraTS2021_00417,0.721229850003112,0.8338669795623438,0.5287786443378225,0.9115847917664212,BraTS2021_00417
BraTS2021_00322,0.5383533447684391,0.6320912805256915,0.639725389806842,0.7352891855850389,BraTS2021_00322
BraTS2021_01185,0.005495957300639434,0.5028550377601768,0.21276904474002417,0.4890196742597454,BraTS2021_01185
BraTS2021_00740,0.018400070095505126,0.18692758120214203,0.121772661227227,0.6011405203152562,BraTS2021_00740
BraTS2021_01337,0.9568467550118926,0.8500522650129781,0.8711920762404289,0.9321133669947511,BraTS2021_01337
BraTS2021_00220,0.5228215767634855,0.6238903507503687,0.7021919091997709,0.9038898955241143,BraTS2021_00220
BraTS2021_01044,0.7670738478622987,0.807254090959903,0.848295945095629,0.8540349934201991,BraTS2021_01044
BraTS2021_01105,0.29430972179894643,0.10175064366894697,0.11746481754811557,0.8532977233495098,BraTS2021_01105
BraTS2021_00254,0.1052334443628973,0.11370328942863013,0.40315041641906213,0.8980896392967525,BraTS2021_00254
BraTS2021_00008,0.0,0.1563756288967526,0.027273638824827032,0.5111075024358558,BraTS2021_00008
BraTS2021_01208,0.0,0.0,0.0,0.0,BraTS2021_01208
BraTS2021_00046,0.09421435346190325,0.3765008325786568,0.42445244423510414,0.952128372841456,BraTS2021_00046
BraTS2021_01253,0.7516493223286499,0.26756469558694834,0.5547057941424138,0.7444753671511224,BraTS2021_01253
BraTS2021_01473,0.0,0.30181589210269744,0.6786100994192342,0.9459103077208514,BraTS2021_01473
BraTS2021_00162,0.8755221386800334,0.67944476230752,0.7162495593937258,0.7180327493153353,BraTS2021_00162
BraTS2021_01134,0.9701899088641108,0.7118656132109047,0.85790085138111,0.8986754576495608,BraTS2021_01134
BraTS2021_00433,0.9106943928704048,0.8074500136948781,0.9163790961543771,0.9604214742891976,BraTS2021_00433
BraTS2021_01236,0.4245257916143992,0.2454032404878937,0.4077136661194544,0.9134071920588774,BraTS2021_01236
BraTS2021_00387,0.0038503850385038503,0.07136958829774684,0.23215654217544576,0.3834872892961183,BraTS2021_00387
BraTS2021_00239,0.0,0.10210807497947431,0.16326664695640747,0.7526563211392148,BraTS2021_00239
BraTS2021_00579,0.11868686868686869,0.6246716402227592,0.45374950750777043,0.8983656327480646,BraTS2021_00579
BraTS2021_00369,0.8802249297094658,0.9064401531734274,0.9101521784448614,0.9194828653764683,BraTS2021_00369
BraTS2021_00142,0.0,0.25430099194048356,0.3647253498327278,0.5925150318087351,BraTS2021_00142
BraTS2021_01626,0.911578947368421,0.7477258503500371,0.6439778315510108,0.8340128958846956,BraTS2021_01626
BraTS2021_01225,0.8178146490557799,0.8692342773197083,0.9181133034126514,0.9038056914417969,BraTS2021_01225
BraTS2021_00290,0.6713032960387058,0.8394564713192019,0.6169481392915858,0.8565160416390595,BraTS2021_00290
